age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,order_month,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
31.0,4.5,cloudy,low,0,snack,motorcycle,1.0,no,metropolitian,20,3,1,5.0,morning,3.026096197898999,short
25.0,4.6,windy,jam,1,meal,scooter,1.0,no,metropolitian,20,2,0,5.0,evening,20.50867173099674,very_long
25.0,4.6,sunny,medium,1,buffet,scooter,0.0,no,urban,17,2,0,10.0,evening,19.34361316327686,very_long
31.0,4.7,sunny,jam,0,drinks,motorcycle,0.0,no,metropolitian,21,3,1,10.0,evening,9.314862687658115,medium
37.0,4.1,stormy,low,0,snack,motorcycle,1.0,no,metropolitian,32,3,0,15.0,morning,3.1089029191679383,short
34.0,4.2,windy,medium,2,buffet,scooter,0.0,no,urban,32,3,0,15.0,afternoon,5.959357904254251,medium
35.0,4.7,sandstorms,jam,1,drinks,scooter,1.0,no,metropolitian,30,3,1,10.0,evening,11.917779612813971,long
23.0,4.7,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,12,4,0,5.0,morning,3.0251186390184004,short
,,,,3,buffet,motorcycle,1.0,no,urban,29,3,1,,,16.60119759495163,very_long
30.0,4.7,windy,jam,0,snack,motorcycle,3.0,no,metropolitian,48,4,0,5.0,evening,17.074283280249404,very_long
30.0,4.7,stormy,jam,2,buffet,scooter,0.0,no,metropolitian,25,2,1,5.0,evening,8.79016455504953,medium
33.0,4.6,sandstorms,medium,2,buffet,electric_scooter,1.0,no,urban,33,2,0,15.0,afternoon,6.105310401829539,medium
27.0,4.2,stormy,high,0,snack,motorcycle,1.0,no,metropolitian,36,3,0,5.0,morning,1.536864059415262,short
36.0,4.1,stormy,jam,2,drinks,electric_scooter,,no,metropolitian,34,3,1,10.0,evening,7.562317945109334,medium
31.0,4.9,fog,medium,2,drinks,scooter,1.0,no,urban,18,3,0,5.0,afternoon,4.560783589287684,short
22.0,4.5,stormy,high,2,buffet,scooter,1.0,no,metropolitian,10,3,1,10.0,afternoon,6.232177403679017,medium
30.0,5.0,cloudy,low,0,buffet,motorcycle,0.0,no,metropolitian,21,3,0,5.0,morning,,
21.0,4.6,fog,low,0,snack,motorcycle,0.0,no,urban,21,2,0,5.0,night,4.464846077192792,short
28.0,4.8,fog,jam,0,meal,motorcycle,2.0,no,metropolitian,37,3,0,15.0,evening,12.419848147906494,long
30.0,4.3,sandstorms,jam,2,snack,scooter,2.0,no,metropolitian,36,2,0,5.0,evening,10.806772793809738,long
39.0,3.7,windy,jam,2,meal,electric_scooter,1.0,no,metropolitian,38,3,0,15.0,night,10.707144604562082,long
27.0,4.5,stormy,low,0,meal,motorcycle,1.0,no,metropolitian,27,3,0,15.0,morning,3.108925571154772,short
32.0,5.0,sandstorms,medium,1,snack,scooter,1.0,no,metropolitian,25,3,0,5.0,evening,10.711191521545718,long
26.0,4.9,sunny,low,0,meal,motorcycle,1.0,no,metropolitian,24,2,0,5.0,night,10.80698327657689,long
23.0,4.9,sunny,jam,1,drinks,motorcycle,0.0,no,metropolitian,12,3,0,10.0,evening,9.087720328091445,medium
38.0,4.7,cloudy,low,2,drinks,motorcycle,1.0,no,urban,28,3,0,15.0,,20.178916924749682,very_long
38.0,4.7,fog,jam,0,buffet,motorcycle,2.0,no,metropolitian,48,2,0,5.0,evening,14.045456883618343,long
39.0,4.6,fog,low,2,drinks,scooter,0.0,no,metropolitian,15,3,0,5.0,night,7.547357671334388,medium
24.0,4.9,sunny,low,0,snack,motorcycle,1.0,no,urban,11,3,0,15.0,morning,1.5204186010643506,short
22.0,4.5,fog,low,2,meal,scooter,1.0,no,urban,20,3,0,10.0,night,20.852513503426962,very_long
34.0,4.5,fog,low,0,meal,motorcycle,0.0,no,metropolitian,23,2,0,10.0,morning,1.4883145491309553,short
34.0,4.6,cloudy,low,0,meal,motorcycle,1.0,no,metropolitian,29,3,0,15.0,morning,3.018841258628892,short
35.0,4.3,stormy,low,0,buffet,motorcycle,1.0,no,urban,29,4,0,10.0,morning,1.5527615060238593,short
35.0,5.0,stormy,jam,0,meal,motorcycle,1.0,yes,metropolitian,44,3,0,5.0,evening,13.829931792649827,long
26.0,4.8,stormy,low,1,meal,scooter,1.0,no,metropolitian,19,3,0,10.0,night,9.193373039577208,medium
33.0,4.8,stormy,low,2,buffet,electric_scooter,0.0,no,urban,15,3,0,5.0,night,19.36342948174777,very_long
35.0,4.2,sunny,jam,1,meal,scooter,0.0,no,metropolitian,31,2,0,10.0,evening,16.11365443502324,very_long
20.0,4.6,cloudy,high,0,buffet,motorcycle,1.0,no,metropolitian,29,3,0,15.0,morning,,
32.0,4.6,stormy,low,2,buffet,motorcycle,0.0,no,urban,20,3,0,5.0,night,4.58903875102421,short
28.0,4.9,sandstorms,high,2,meal,scooter,0.0,no,urban,10,3,0,10.0,morning,1.5204709334108633,short
31.0,4.5,stormy,jam,2,buffet,motorcycle,1.0,no,urban,29,3,0,10.0,evening,13.413644078076244,long
39.0,4.6,sunny,high,2,snack,motorcycle,1.0,no,urban,23,3,0,5.0,afternoon,6.147073151032162,medium
31.0,4.6,cloudy,medium,1,snack,motorcycle,1.0,no,urban,19,3,1,15.0,evening,4.469203457950985,short
33.0,4.9,stormy,low,0,buffet,motorcycle,0.0,no,metropolitian,23,3,0,15.0,night,14.022298282479131,long
35.0,4.9,fog,jam,1,meal,scooter,1.0,no,urban,27,3,0,15.0,night,7.772252870923808,medium
21.0,4.6,fog,medium,2,snack,scooter,1.0,no,metropolitian,30,3,0,10.0,afternoon,,
,,cloudy,high,0,buffet,motorcycle,1.0,no,urban,21,3,0,,,6.037557938329102,medium
24.0,4.5,windy,low,2,drinks,electric_scooter,1.0,no,metropolitian,13,3,1,5.0,morning,1.5298253586323256,short
29.0,4.6,stormy,low,1,drinks,motorcycle,1.0,no,urban,16,4,0,15.0,,13.786698988713738,long
39.0,3.9,windy,jam,1,snack,motorcycle,1.0,no,metropolitian,40,3,0,10.0,night,19.974163074784503,very_long
21.0,4.8,sunny,jam,1,meal,scooter,1.0,no,metropolitian,18,3,0,15.0,evening,7.448379823536196,medium
27.0,4.8,sandstorms,low,1,drinks,scooter,1.0,no,urban,12,3,0,15.0,morning,1.509467584367178,short
,,,,1,snack,scooter,0.0,no,metropolitian,18,3,0,,,4.663187802146825,short
20.0,4.7,stormy,low,1,snack,motorcycle,1.0,no,urban,15,4,0,5.0,morning,3.1049287712304117,short
39.0,4.6,cloudy,jam,2,drinks,scooter,2.0,no,metropolitian,35,3,1,15.0,evening,20.181186875221297,very_long
34.0,4.9,cloudy,low,0,snack,motorcycle,2.0,no,metropolitian,43,3,0,15.0,night,13.612594236925657,long
34.0,4.6,cloudy,jam,2,drinks,scooter,0.0,no,metropolitian,25,2,1,15.0,evening,7.342175722857793,medium
35.0,4.5,fog,low,1,buffet,scooter,0.0,no,urban,18,3,1,10.0,night,9.315745361545886,medium
23.0,4.7,windy,jam,2,drinks,scooter,1.0,no,metropolitian,26,2,1,15.0,evening,,
20.0,4.7,windy,medium,2,snack,scooter,1.0,no,metropolitian,28,3,0,5.0,afternoon,6.120941769502898,medium
23.0,5.0,cloudy,jam,2,drinks,scooter,2.0,no,metropolitian,42,3,0,5.0,evening,20.176709024393567,very_long
,,windy,medium,2,drinks,electric_scooter,1.0,no,metropolitian,28,3,1,,,6.037614687084906,medium
31.0,4.8,stormy,medium,2,snack,electric_scooter,1.0,no,metropolitian,21,4,0,5.0,afternoon,10.602467987619507,long
38.0,4.7,cloudy,high,0,buffet,motorcycle,1.0,no,metropolitian,30,2,1,15.0,morning,1.5101672504865262,short
38.0,4.0,sandstorms,high,1,meal,scooter,2.0,no,metropolitian,33,3,0,10.0,morning,1.5544659606035225,short
38.0,3.8,sandstorms,jam,2,snack,scooter,0.0,no,metropolitian,40,3,0,15.0,night,19.972929947942482,very_long
39.0,4.7,sunny,high,1,meal,scooter,0.0,no,metropolitian,22,3,0,5.0,morning,3.064267071068136,short
36.0,4.8,sandstorms,medium,2,snack,scooter,1.0,no,urban,25,3,0,5.0,afternoon,6.118933768642428,medium
,,windy,medium,1,meal,motorcycle,1.0,no,metropolitian,30,3,0,,,7.6597039787034085,medium
39.0,4.7,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,26,3,0,15.0,night,19.760743726313585,very_long
23.0,4.6,fog,jam,1,buffet,motorcycle,1.0,no,metropolitian,30,4,1,10.0,evening,12.418480328292787,long
20.0,4.9,windy,medium,1,buffet,scooter,1.0,no,,22,3,0,10.0,evening,17.07670421054038,very_long
24.0,5.0,fog,jam,1,meal,motorcycle,1.0,no,metropolitian,30,3,0,5.0,night,,
34.0,5.0,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,36,3,0,5.0,night,12.23475004893086,long
34.0,4.8,sunny,jam,1,drinks,scooter,0.0,no,metropolitian,22,3,1,15.0,evening,9.314907489514155,medium
33.0,4.7,windy,jam,2,buffet,motorcycle,1.0,no,metropolitian,25,3,0,10.0,evening,12.099122314389794,long
33.0,5.0,fog,medium,0,drinks,motorcycle,1.0,no,metropolitian,42,3,0,5.0,afternoon,20.85246332426527,very_long
26.0,4.9,fog,jam,2,buffet,electric_scooter,1.0,no,metropolitian,33,4,0,15.0,night,13.406350345879243,long
28.0,4.7,sandstorms,jam,1,meal,scooter,1.0,no,metropolitian,23,4,0,5.0,evening,13.583078662317007,long
37.0,4.7,fog,jam,0,meal,motorcycle,1.0,no,metropolitian,29,4,0,10.0,evening,4.663438748149055,short
31.0,4.0,cloudy,jam,2,buffet,scooter,0.0,no,metropolitian,37,4,0,15.0,evening,7.5456323538790695,medium
27.0,4.6,sandstorms,low,0,buffet,motorcycle,1.0,no,urban,16,3,0,15.0,night,10.709003371535417,long
20.0,4.6,fog,low,1,meal,scooter,1.0,no,urban,10,3,0,10.0,morning,3.1089881501684506,short
35.0,4.7,sandstorms,jam,2,meal,electric_scooter,1.0,no,metropolitian,27,3,0,10.0,night,7.683765443180287,medium
26.0,4.8,sunny,jam,2,drinks,motorcycle,0.0,no,urban,18,3,0,10.0,evening,10.865464603780389,long
20.0,4.6,fog,low,0,snack,motorcycle,1.0,no,metropolitian,20,3,0,15.0,night,13.68250488691661,long
28.0,4.7,stormy,low,2,snack,scooter,1.0,no,metropolitian,16,3,0,5.0,,7.790172211356696,medium
37.0,5.0,windy,jam,1,buffet,motorcycle,1.0,no,metropolitian,34,3,1,15.0,evening,4.656607046012821,short
38.0,4.9,sandstorms,high,1,drinks,scooter,1.0,no,metropolitian,28,3,0,15.0,morning,1.5125236323325255,short
35.0,4.9,cloudy,low,0,meal,motorcycle,1.0,no,metropolitian,20,3,0,5.0,morning,1.552697443893239,short
34.0,4.6,fog,jam,0,buffet,motorcycle,0.0,no,metropolitian,26,3,0,5.0,evening,4.657195393807058,short
34.0,4.2,sandstorms,medium,2,meal,scooter,0.0,no,metropolitian,31,2,0,5.0,afternoon,6.054030177982857,medium
33.0,4.3,cloudy,jam,2,meal,motorcycle,2.0,no,metropolitian,45,4,0,10.0,evening,19.61865601365971,very_long
27.0,5.0,cloudy,medium,1,buffet,scooter,1.0,no,metropolitian,35,2,1,15.0,evening,20.07079010576581,very_long
27.0,4.5,sandstorms,low,0,buffet,motorcycle,1.0,no,metropolitian,24,3,0,15.0,night,16.827953238536708,very_long
32.0,4.6,sandstorms,low,2,meal,electric_scooter,1.0,no,metropolitian,21,3,0,10.0,night,,
38.0,4.6,windy,medium,1,meal,motorcycle,1.0,no,urban,22,3,0,5.0,evening,19.91431676645955,very_long
38.0,4.6,windy,low,1,buffet,scooter,1.0,no,metropolitian,27,3,0,15.0,night,4.469157679084987,short
32.0,4.6,fog,low,1,drinks,motorcycle,0.0,no,urban,15,3,0,15.0,morning,1.5527001159059903,short
23.0,4.8,sunny,low,0,meal,motorcycle,1.0,no,metropolitian,29,3,0,15.0,night,12.464066309794568,long
22.0,4.7,cloudy,low,1,drinks,scooter,1.0,no,,18,3,0,15.0,morning,1.5525629397903205,short
35.0,4.6,fog,jam,1,snack,motorcycle,0.0,no,metropolitian,41,3,0,10.0,evening,20.25305420828035,very_long
20.0,4.8,cloudy,medium,2,snack,motorcycle,0.0,no,urban,19,3,1,15.0,evening,4.590648124312415,short
36.0,4.0,stormy,high,2,drinks,electric_scooter,2.0,no,metropolitian,34,2,1,15.0,morning,1.5263928791727877,short
31.0,4.8,sandstorms,low,1,meal,motorcycle,1.0,no,metropolitian,21,3,0,10.0,morning,3.1162385581768866,short
29.0,4.7,sandstorms,medium,1,meal,motorcycle,0.0,no,metropolitian,24,3,0,5.0,afternoon,13.682516298592299,long
32.0,4.7,windy,low,2,buffet,scooter,1.0,no,urban,20,3,1,5.0,morning,3.1050835221086417,short
29.0,5.0,fog,medium,1,snack,scooter,1.0,no,metropolitian,19,2,0,15.0,evening,,
35.0,4.8,sandstorms,high,2,drinks,electric_scooter,1.0,no,metropolitian,32,3,0,5.0,afternoon,,
,,,,3,snack,electric_scooter,2.0,no,urban,40,3,0,,,10.756415548797705,long
28.0,4.7,windy,low,2,drinks,scooter,0.0,no,metropolitian,14,3,0,15.0,night,7.763102784727143,medium
20.0,4.8,cloudy,low,0,meal,motorcycle,1.0,no,metropolitian,24,3,0,5.0,night,19.97456846935303,very_long
36.0,4.1,windy,jam,0,snack,motorcycle,0.0,no,urban,35,2,1,5.0,night,,
24.0,5.0,sandstorms,jam,2,snack,motorcycle,0.0,no,metropolitian,25,2,0,5.0,evening,13.18466274082461,long
27.0,4.7,sunny,high,1,buffet,scooter,1.0,no,metropolitian,18,3,0,10.0,afternoon,5.95776607270054,medium
38.0,3.5,stormy,medium,1,snack,motorcycle,1.0,no,metropolitian,33,2,1,10.0,evening,13.392612276663236,long
32.0,4.6,stormy,low,2,snack,motorcycle,0.0,no,metropolitian,19,4,0,10.0,night,20.853653606522474,very_long
35.0,4.0,fog,jam,1,snack,scooter,2.0,no,metropolitian,47,2,0,10.0,evening,13.393001594700221,long
22.0,4.2,windy,low,0,drinks,motorcycle,1.0,no,metropolitian,24,3,1,5.0,night,4.544215521132343,short
25.0,4.9,sandstorms,low,0,drinks,motorcycle,1.0,no,metropolitian,18,3,0,10.0,night,16.852118690780628,very_long
31.0,4.7,windy,low,0,meal,motorcycle,1.0,no,urban,20,3,0,10.0,night,12.073551890748645,long
24.0,4.9,stormy,low,2,snack,scooter,0.0,no,,14,4,0,10.0,night,17.09819699771769,very_long
27.0,4.6,stormy,jam,2,drinks,scooter,1.0,no,metropolitian,20,4,0,5.0,evening,,
38.0,4.7,fog,medium,1,buffet,motorcycle,1.0,no,urban,43,3,1,10.0,evening,12.29361121840287,long
,,windy,medium,2,buffet,motorcycle,1.0,no,urban,27,3,1,10.0,afternoon,9.2191235676111,medium
29.0,4.9,sunny,high,2,buffet,scooter,0.0,no,,18,3,1,5.0,morning,6.128363939648455,medium
25.0,4.0,cloudy,high,2,buffet,motorcycle,1.0,no,metropolitian,31,4,0,5.0,morning,1.552697443893239,short
22.0,4.8,fog,jam,1,drinks,motorcycle,1.0,no,urban,30,3,0,15.0,evening,9.31563208704705,medium
,,,,3,meal,electric_scooter,0.0,no,metropolitian,23,3,1,,,6.08091814244962,medium
36.0,4.5,stormy,low,0,meal,motorcycle,1.0,no,metropolitian,23,3,1,15.0,night,12.074063090452917,long
24.0,4.6,sandstorms,medium,0,buffet,motorcycle,1.0,no,urban,33,3,0,10.0,afternoon,12.419464414087114,long
24.0,4.9,cloudy,low,1,snack,scooter,0.0,no,urban,11,3,0,10.0,night,4.663432201620595,short
,,,,3,drinks,bicycle,1.0,no,urban,33,4,0,,,17.13783007771357,very_long
26.0,4.7,windy,high,1,buffet,scooter,1.0,no,metropolitian,23,3,0,5.0,afternoon,6.209485128886319,medium
20.0,4.9,sandstorms,low,2,snack,motorcycle,0.0,no,urban,16,3,0,10.0,night,7.79094413843958,medium
20.0,4.6,sunny,jam,0,meal,motorcycle,1.0,no,metropolitian,24,2,1,5.0,night,,
38.0,4.8,windy,low,2,meal,electric_scooter,0.0,no,metropolitian,20,3,0,5.0,night,4.663411524934487,short
29.0,4.8,sandstorms,medium,2,drinks,scooter,0.0,no,metropolitian,28,3,1,10.0,evening,4.67432400638191,short
31.0,4.6,fog,low,2,meal,motorcycle,1.0,no,urban,30,3,0,5.0,night,16.636744591831217,very_long
22.0,4.9,sandstorms,low,0,drinks,motorcycle,0.0,no,metropolitian,22,3,0,5.0,night,16.636875038860897,very_long
31.0,4.7,windy,low,2,meal,scooter,1.0,no,metropolitian,29,3,0,10.0,morning,1.5525398251397549,short
,,stormy,medium,1,meal,motorcycle,1.0,no,metropolitian,38,3,0,,,,
38.0,5.0,fog,low,0,snack,motorcycle,1.0,no,urban,42,3,0,15.0,night,12.234645517155798,long
24.0,4.3,stormy,low,0,meal,motorcycle,1.0,no,metropolitian,27,3,0,15.0,morning,3.1089700084222183,short
39.0,4.7,windy,jam,2,meal,electric_scooter,1.0,no,metropolitian,31,2,0,15.0,night,8.92905449527407,medium
22.0,4.8,cloudy,medium,0,buffet,motorcycle,1.0,no,metropolitian,30,2,0,15.0,evening,16.15154834485934,very_long
28.0,4.6,windy,medium,2,buffet,electric_scooter,1.0,no,metropolitian,22,3,1,15.0,afternoon,6.232150258829198,medium
21.0,4.8,sunny,low,0,snack,motorcycle,0.0,no,urban,12,3,1,15.0,night,9.314044064891696,medium
20.0,4.8,windy,low,2,snack,scooter,0.0,no,metropolitian,11,3,0,5.0,,4.596951629499114,short
34.0,4.4,sandstorms,medium,2,buffet,scooter,0.0,no,metropolitian,34,4,0,15.0,afternoon,6.128850978538233,medium
21.0,4.7,sandstorms,jam,0,drinks,motorcycle,1.0,no,metropolitian,37,4,0,15.0,night,,
28.0,4.9,sunny,medium,0,meal,motorcycle,1.0,no,urban,17,3,1,5.0,afternoon,12.233735310134827,long
23.0,5.0,sunny,jam,2,meal,motorcycle,1.0,no,urban,24,3,0,15.0,night,20.206804295781904,very_long
38.0,4.6,fog,medium,2,snack,scooter,0.0,no,metropolitian,36,3,0,5.0,evening,10.906414500350794,long
35.0,4.9,cloudy,jam,0,drinks,motorcycle,2.0,yes,metropolitian,49,2,0,15.0,night,,
23.0,4.5,sandstorms,jam,1,buffet,scooter,0.0,no,metropolitian,18,2,0,10.0,evening,4.530416872303163,short
30.0,4.7,windy,low,2,meal,scooter,0.0,no,metropolitian,25,3,0,5.0,morning,3.029512751162419,short
31.0,5.0,stormy,medium,0,drinks,motorcycle,1.0,no,urban,25,3,0,5.0,afternoon,4.596317855297838,short
34.0,4.3,sandstorms,jam,1,snack,motorcycle,1.0,no,metropolitian,39,3,0,10.0,evening,12.233239995053252,long
37.0,4.9,sunny,medium,0,drinks,motorcycle,0.0,no,metropolitian,26,4,0,15.0,evening,13.762754362295334,long
31.0,3.8,sandstorms,jam,2,snack,scooter,0.0,no,metropolitian,42,3,0,10.0,night,16.90375725452544,very_long
28.0,4.5,windy,medium,1,meal,motorcycle,1.0,no,urban,21,3,1,5.0,afternoon,6.209735433842075,medium
28.0,4.6,windy,jam,1,snack,scooter,0.0,no,urban,15,2,1,10.0,evening,13.392795217611829,long
31.0,4.7,stormy,jam,1,drinks,scooter,1.0,no,urban,25,4,1,15.0,evening,4.674266565274251,short
36.0,4.7,fog,low,2,buffet,electric_scooter,1.0,no,urban,16,2,0,10.0,night,4.464792560621753,short
20.0,4.7,sunny,high,1,meal,scooter,0.0,no,urban,11,3,0,15.0,morning,6.128501214162246,medium
28.0,4.5,windy,high,0,drinks,motorcycle,1.0,no,metropolitian,23,3,1,15.0,afternoon,6.20880395990009,medium
21.0,4.9,sandstorms,high,1,meal,motorcycle,0.0,no,metropolitian,22,3,0,10.0,afternoon,6.116971669682334,medium
27.0,4.8,stormy,medium,2,drinks,motorcycle,1.0,no,urban,15,3,1,15.0,evening,12.100079055614344,long
29.0,4.6,stormy,low,2,meal,electric_scooter,0.0,no,metropolitian,11,2,0,15.0,night,13.392795217611829,long
21.0,4.6,sunny,medium,2,meal,scooter,0.0,no,metropolitian,16,3,0,5.0,evening,9.177805335295872,medium
23.0,4.3,cloudy,jam,2,snack,scooter,1.0,no,metropolitian,43,3,0,10.0,evening,10.56497410160339,long
24.0,5.0,cloudy,medium,0,meal,motorcycle,1.0,no,metropolitian,28,3,0,5.0,afternoon,8.937806252924872,medium
31.0,4.4,windy,medium,2,meal,electric_scooter,0.0,no,metropolitian,34,3,1,10.0,afternoon,7.772596236164787,medium
20.0,4.5,cloudy,medium,1,snack,scooter,1.0,no,urban,28,3,0,15.0,evening,10.867232952679457,long
31.0,4.8,sandstorms,high,0,buffet,motorcycle,1.0,no,metropolitian,33,2,0,5.0,afternoon,5.860610778162196,medium
29.0,4.3,sandstorms,jam,0,snack,motorcycle,1.0,no,metropolitian,38,3,0,5.0,night,12.434914295120448,long
35.0,3.7,windy,jam,1,buffet,motorcycle,1.0,no,metropolitian,39,3,0,5.0,night,,
24.0,4.8,stormy,jam,2,snack,motorcycle,1.0,no,metropolitian,28,4,1,15.0,evening,13.63129313218813,long
,,sunny,jam,1,buffet,motorcycle,1.0,no,urban,12,3,0,,,,
35.0,4.5,cloudy,high,2,drinks,scooter,1.0,no,urban,26,3,0,10.0,afternoon,6.210946741810896,medium
38.0,3.6,windy,jam,1,drinks,motorcycle,1.0,yes,metropolitian,40,3,1,5.0,night,13.83000931143171,long
33.0,5.0,cloudy,medium,0,meal,motorcycle,0.0,no,metropolitian,25,3,0,10.0,afternoon,7.683608397233649,medium
22.0,4.8,sunny,jam,1,snack,scooter,1.0,no,metropolitian,21,2,0,5.0,evening,20.96888932863528,very_long
36.0,4.8,sandstorms,low,2,snack,scooter,1.0,no,metropolitian,28,3,0,5.0,morning,3.040666798077057,short
39.0,4.9,cloudy,medium,2,drinks,scooter,1.0,no,metropolitian,18,3,0,10.0,evening,4.527261449200724,short
33.0,4.3,stormy,high,1,drinks,scooter,1.0,no,metropolitian,32,3,1,10.0,morning,3.116253656338934,short
23.0,4.7,sunny,medium,0,drinks,motorcycle,1.0,no,,24,3,0,5.0,afternoon,4.561267998364189,short
37.0,4.8,sandstorms,medium,0,meal,motorcycle,1.0,no,metropolitian,27,3,0,15.0,evening,7.562980271914233,medium
30.0,4.9,fog,jam,0,snack,motorcycle,1.0,no,metropolitian,52,3,0,5.0,evening,16.600361127912656,very_long
27.0,4.6,cloudy,jam,0,buffet,motorcycle,1.0,no,metropolitian,46,3,0,15.0,evening,17.137482577838597,very_long
33.0,3.4,sunny,low,0,drinks,motorcycle,0.0,no,metropolitian,34,3,0,10.0,night,16.825674553493343,very_long
36.0,5.0,fog,low,1,buffet,scooter,1.0,no,metropolitian,27,4,0,15.0,night,13.61082462242586,long
37.0,4.8,stormy,jam,0,buffet,motorcycle,1.0,no,urban,39,3,0,5.0,night,,
27.0,4.9,sunny,high,1,meal,motorcycle,1.0,no,metropolitian,17,3,0,5.0,morning,3.0182264849996012,short
35.0,4.7,fog,jam,0,buffet,motorcycle,1.0,no,metropolitian,43,3,0,5.0,evening,12.074281945769359,long
22.0,4.1,sandstorms,low,0,drinks,motorcycle,1.0,no,metropolitian,26,3,0,5.0,morning,1.5369113551350593,short
33.0,4.0,cloudy,medium,2,snack,scooter,0.0,no,metropolitian,34,3,0,15.0,evening,13.97191478756942,long
26.0,4.7,sandstorms,low,0,snack,motorcycle,0.0,no,metropolitian,23,3,1,10.0,night,20.20729968887068,very_long
39.0,3.8,sandstorms,jam,2,buffet,scooter,1.0,no,metropolitian,40,3,0,5.0,night,10.906149360969733,long
20.0,4.9,fog,medium,1,snack,motorcycle,1.0,no,metropolitian,16,3,0,10.0,evening,7.790426271963797,medium
38.0,4.8,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,30,3,1,15.0,morning,,
27.0,2.5,sunny,low,1,meal,scooter,0.0,no,metropolitian,39,3,0,10.0,night,17.07362495419754,very_long
28.0,4.5,sandstorms,low,1,drinks,scooter,0.0,no,metropolitian,17,3,0,5.0,night,12.161069532201358,long
36.0,4.2,sandstorms,jam,0,meal,motorcycle,1.0,no,metropolitian,35,3,0,5.0,night,4.528162065607132,short
35.0,4.9,windy,low,1,meal,scooter,1.0,no,metropolitian,26,3,0,15.0,night,10.641490945494409,long
22.0,4.7,sandstorms,jam,2,drinks,electric_scooter,1.0,no,,23,3,0,15.0,evening,12.29343378697411,long
21.0,4.8,sandstorms,medium,0,drinks,motorcycle,1.0,no,metropolitian,30,2,0,10.0,afternoon,16.36844353863693,very_long
29.0,4.8,windy,jam,1,buffet,motorcycle,0.0,no,urban,18,3,1,10.0,night,10.86742683448048,long
28.0,4.6,sandstorms,medium,0,buffet,motorcycle,1.0,no,metropolitian,28,3,0,10.0,evening,16.824864367093813,very_long
31.0,4.3,fog,jam,1,snack,motorcycle,1.0,no,metropolitian,38,3,0,15.0,night,,
32.0,4.9,fog,low,2,buffet,scooter,1.0,no,metropolitian,18,3,0,15.0,night,7.790122649763986,medium
24.0,4.6,stormy,jam,2,buffet,electric_scooter,1.0,no,metropolitian,28,2,0,15.0,evening,20.968899445721757,very_long
34.0,4.6,cloudy,medium,2,meal,scooter,0.0,no,urban,17,3,0,10.0,afternoon,7.57343592001983,medium
26.0,5.0,cloudy,low,1,snack,motorcycle,0.0,no,urban,14,3,0,15.0,morning,1.5367312329664098,short
28.0,4.8,cloudy,medium,1,buffet,scooter,1.0,no,urban,25,3,0,5.0,evening,16.826241648658115,very_long
27.0,4.7,stormy,medium,2,snack,motorcycle,1.0,no,urban,22,3,0,10.0,evening,7.772207463584183,medium
37.0,4.9,stormy,medium,1,buffet,motorcycle,1.0,no,metropolitian,26,3,0,15.0,afternoon,6.147160558529004,medium
30.0,4.5,cloudy,jam,1,buffet,motorcycle,1.0,no,metropolitian,30,3,0,10.0,evening,9.074486316335918,medium
39.0,4.4,windy,jam,0,drinks,motorcycle,3.0,yes,metropolitian,54,3,1,10.0,evening,13.583078662317007,long
35.0,4.7,cloudy,low,0,snack,motorcycle,1.0,no,metropolitian,42,3,1,10.0,night,,
34.0,4.8,sandstorms,low,2,drinks,motorcycle,1.0,no,metropolitian,29,3,0,10.0,morning,,
25.0,5.0,fog,jam,1,buffet,scooter,1.0,no,metropolitian,34,3,0,15.0,night,19.663125922534896,very_long
35.0,4.3,sandstorms,medium,1,snack,scooter,1.0,no,urban,34,3,1,10.0,afternoon,6.210145663324764,medium
,,fog,medium,0,buffet,motorcycle,1.0,no,metropolitian,27,2,0,,,5.992260265805032,medium
26.0,4.7,stormy,low,2,meal,motorcycle,0.0,no,urban,18,3,0,10.0,morning,1.5298253586323256,short
31.0,4.4,sandstorms,low,0,drinks,motorcycle,0.0,no,metropolitian,30,2,0,10.0,morning,,
37.0,4.4,stormy,jam,2,snack,scooter,1.0,no,metropolitian,41,3,1,5.0,night,10.587819003215479,long
22.0,4.6,sandstorms,medium,0,drinks,motorcycle,0.0,no,urban,31,3,0,15.0,afternoon,19.660943947619934,very_long
28.0,4.7,stormy,medium,0,buffet,motorcycle,0.0,no,urban,10,3,0,10.0,afternoon,9.326827803405624,medium
39.0,4.8,fog,medium,0,drinks,motorcycle,1.0,no,metropolitian,38,3,0,15.0,evening,13.97205302455759,long
35.0,4.8,windy,low,2,meal,electric_scooter,0.0,no,metropolitian,22,3,0,10.0,night,10.724960763776828,long
36.0,4.6,sunny,high,2,buffet,scooter,1.0,no,metropolitian,23,3,1,15.0,afternoon,5.960265171500215,medium
,,sandstorms,low,1,meal,scooter,1.0,no,metropolitian,12,3,0,10.0,morning,3.063638579712219,short
22.0,4.5,fog,low,0,drinks,motorcycle,1.0,no,metropolitian,24,3,1,15.0,morning,3.064627592336888,short
